Sr.no,Dealer,Product,FC
1,1011,1614,243
2,1085,2670,98
3,1389,2031,36
4,1161,1903,35
5,1213,1733,174
6,1415,2408,34
7,1033,1887,122
8,1063,1353,127
9,1606,2587,196
10,1489,2008,286
11,1581,1184,277
12,1388,1782,69
13,1060,1929,115
14,1570,1392,148
15,1190,2115,39
16,1558,1310,84
17,1321,1971,82
18,1095,2182,242
19,1036,2786,236
20,1493,1927,290
21,1271,2512,184
22,1274,2914,67
23,1620,2871,149
24,1244,1192,166
25,1145,1534,3
26,1448,1481,65
27,1579,2290,284
28,1602,2247,3
29,1499,2615,202
30,1633,2209,230
31,1057,2272,166
32,1466,1580,297
33,1506,1405,233
34,1250,1627,143
35,1583,1728,214
36,1322,2099,177
37,1293,2233,103
38,1066,2902,234
39,1238,1490,84
40,1349,2789,300
41,1215,2942,213
42,1303,2245,168
43,1110,2010,122
44,1201,1924,119
45,1279,2479,47
46,1352,2492,289
47,1276,2705,162
48,1373,2046,62
49,1360,2556,203
50,1625,2045,175
51,1549,1218,4
52,1086,1939,59
53,1510,1441,258
54,1183,2899,192
55,1598,2495,166
56,1536,1358,130
57,1294,1716,93
58,1467,2165,54
59,1179,1177,6
60,1095,2930,155
61,1105,1233,116
62,1116,2446,129
63,1127,1193,182
64,1448,2567,37
65,1375,1044,187
66,1558,2374,104
67,1407,1200,43
68,1354,1532,113
69,1242,2265,233
70,1025,2710,183
71,1420,2263,30
72,1425,2336,46
73,1140,1600,228
74,1110,2821,91
75,1308,1255,246
76,1624,1376,134
77,1200,1781,10
78,1253,2251,209
79,1150,2365,153
80,1256,1100,80
81,1623,2081,264
82,1426,1577,285
83,1318,2619,239
84,1407,2521,59
85,1156,1301,169
86,1288,2029,26
87,1154,2521,38
88,1384,2504,33
89,1503,1875,133
90,1012,2495,4
91,1557,2147,160
92,1546,2963,31
93,1424,2376,87
94,1337,2645,141
95,1196,1896,40
96,1061,2502,156
97,1264,2533,175
98,1197,1503,283
99,1578,2675,76
100,1037,2496,65
101,1090,1352,225
102,1646,1832,169
103,1372,1516,254
104,1638,2085,99
105,1543,2018,78
106,1600,1051,60
107,1490,1658,166
108,1575,1809,202
109,1080,2864,270
110,1260,1039,109
111,1266,1885,131
112,1132,2752,10
113,1486,2402,238
114,1176,1994,94
115,1488,1362,267
116,1112,2371,143
117,1229,2757,275
118,1082,2655,51
119,1598,1150,173
120,1364,1875,84
121,1408,2096,287
122,1068,1309,186
123,1118,1840,52
124,1459,1308,123
125,1270,2816,209
126,1196,1434,290
127,1327,1670,233
128,1220,2682,177
129,1411,2561,298
130,1512,1194,182
131,1045,2596,245
132,1507,2952,218
133,1433,1339,200
134,1262,2124,150
135,1268,1376,81
136,1471,2344,229
137,1594,2325,86
138,1569,1540,154
139,1541,2934,6
140,1557,2829,183
141,1239,2435,209
142,1589,2583,71
143,1324,1089,219
144,1267,1924,285
145,1452,1945,173
146,1290,1055,1
147,1092,1880,132
148,1226,1533,197
149,1060,1192,69
150,1298,2203,32
151,1413,2721,163
152,1093,2370,257
153,1054,1998,181
154,1437,2501,28
155,1377,2799,79
156,1567,1467,231
157,1503,2049,97
158,1384,1831,49
159,1557,2588,280
160,1187,1538,299
161,1308,1486,250
162,1575,2559,68
163,1316,1443,6
164,1229,2678,75
165,1583,2570,11
166,1239,1938,252
167,1034,1950,100
168,1123,2868,130
169,1214,2827,261
170,1640,1650,211
171,1504,1092,217
172,1402,1122,14
173,1046,1664,291
174,1032,1653,265
175,1021,2613,95
176,1403,2259,173
177,1579,1076,162
178,1020,1609,39
179,1246,2575,258
180,1460,1806,219
181,1181,1353,95
182,1324,1783,219
183,1638,1768,79
184,1502,2340,173
185,1057,1113,73
186,1525,2272,175
187,1197,2110,139
188,1492,2471,272
189,1355,2011,197
190,1228,1441,73
191,1217,2945,1
192,1366,2220,269
193,1169,2078,272
194,1358,2585,201
195,1481,1371,111
196,1450,2816,186
197,1092,2050,217
198,1143,1533,268
199,1083,2615,99
200,1102,3000,250
201,1522,1090,192
202,1303,2905,183
203,1313,2162,260
204,1535,1873,104
205,1219,1185,186
206,1461,1357,234
207,1202,2710,265
208,1126,1081,117
209,1112,1297,128
210,1190,1847,102
211,1010,1201,22
212,1247,1788,52
213,1434,1686,49
214,1538,1224,124
215,1230,1182,110
216,1534,2462,249
217,1222,1212,121
218,1506,2474,212
219,1337,2331,19
220,1352,1719,76
221,1276,2966,66
222,1564,1393,4
223,1228,1194,178
224,1603,2634,56
225,1363,2878,49
226,1284,2027,31
227,1066,2591,11
228,1411,1870,286
229,1208,2854,262
230,1481,2347,182
231,1424,1520,108
232,1604,2903,264
233,1479,2964,208
234,1540,1791,184
235,1227,1698,235
236,1318,2174,24
237,1067,1434,299
238,1157,1980,40
239,1552,2070,45
240,1448,1531,163
241,1465,2482,83
242,1302,1493,249
243,1211,1231,205
244,1537,2954,299
245,1601,2467,77
246,1127,2801,192
247,1068,1987,213
248,1463,2441,136
249,1131,2078,202
250,1590,2159,56
251,1482,1065,293
252,1271,1350,237
253,1550,2672,176
