Sr.no,Dealer,Product,Sales
1,1011,1614,92
2,1085,2670,67
3,1389,2031,22
4,1161,1903,23
5,1213,1733,121
6,1415,2408,18
7,1033,1887,63
8,1063,1353,82
9,1606,2587,158
10,1489,2008,223
11,1581,1184,207
12,1388,1782,27
13,1060,1929,11
14,1570,1392,84
15,1190,2115,19
16,1558,1310,6
17,1321,1971,53
18,1095,2182,119
19,1036,2786,55
20,1493,1927,257
21,1271,2512,144
22,1274,2914,56
23,1620,2871,72
24,1244,1192,30
25,1145,1534,2
26,1448,1481,64
27,1579,2290,36
28,1602,2247,1
29,1499,2615,181
30,1633,2209,31
31,1057,2272,56
32,1466,1580,33
33,1506,1405,102
34,1250,1627,113
35,1583,1728,78
36,1322,2099,1
37,1293,2233,11
38,1066,2902,82
39,1238,1490,73
40,1349,2789,66
41,1215,2942,33
42,1303,2245,129
43,1110,2010,76
44,1201,1924,50
45,1279,2479,30
46,1352,2492,233
47,1276,2705,89
48,1373,2046,43
49,1360,2556,99
50,1625,2045,13
51,1549,1218,3
52,1086,1939,50
53,1510,1441,97
54,1183,2899,93
55,1598,2495,28
56,1536,1358,105
57,1294,1716,83
58,1467,2165,31
59,1179,1177,5
60,1095,2930,43
61,1105,1233,46
62,1116,2446,91
63,1127,1193,76
64,1448,2567,19
65,1375,1044,184
66,1558,2374,78
67,1407,1200,30
68,1354,1532,109
69,1242,2265,11
70,1025,2710,25
71,1420,2263,7
72,1425,2336,4
73,1140,1600,13
74,1110,2821,2
75,1308,1255,130
76,1624,1376,19
77,1200,1781,3
78,1253,2251,29
79,1150,2365,152
80,1256,1100,59
81,1623,2081,73
82,1426,1577,173
83,1318,2619,87
84,1407,2521,25
85,1156,1301,87
86,1288,2029,12
87,1154,2521,9
88,1384,2504,13
89,1503,1875,37
90,1012,2495,2
91,1557,2147,79
92,1546,2963,2
93,1424,2376,48
94,1337,2645,63
95,1196,1896,23
96,1061,2502,46
97,1264,2533,124
98,1197,1503,112
99,1578,2675,69
100,1037,2496,58
101,1090,1352,74
102,1646,1832,141
103,1372,1516,219
104,1638,2085,83
105,1543,2018,25
106,1600,1051,33
107,1490,1658,47
108,1575,1809,7
109,1080,2864,105
110,1260,1039,75
111,1266,1885,75
112,1132,2752,6
113,1486,2402,183
114,1176,1994,61
115,1488,1362,175
116,1112,2371,122
117,1229,2757,150
118,1082,2655,2
119,1598,1150,13
120,1364,1875,54
121,1408,2096,68
122,1068,1309,5
123,1118,1840,28
124,1459,1308,32
125,1270,2816,151
126,1196,1434,35
127,1327,1670,189
128,1220,2682,96
129,1411,2561,273
130,1512,1194,60
131,1045,2596,89
132,1507,2952,169
133,1433,1339,138
134,1262,2124,57
135,1268,1376,49
136,1471,2344,7
137,1594,2325,18
138,1569,1540,130
139,1541,2934,1
140,1557,2829,171
141,1239,2435,79
142,1589,2583,67
143,1324,1089,88
144,1267,1924,275
145,1452,1945,36
146,1290,1055,0
147,1092,1880,83
148,1226,1533,110
149,1060,1192,66
150,1298,2203,13
151,1413,2721,86
152,1093,2370,127
153,1054,1998,17
154,1437,2501,9
155,1377,2799,75
156,1567,1467,201
157,1503,2049,83
158,1384,1831,39
159,1557,2588,229
160,1187,1538,167
161,1308,1486,98
162,1575,2559,48
163,1316,1443,2
164,1229,2678,44
165,1583,2570,7
166,1239,1938,172
167,1034,1950,15
168,1123,2868,47
169,1214,2827,233
170,1640,1650,30
171,1504,1092,65
172,1402,1122,8
173,1046,1664,145
174,1032,1653,90
175,1021,2613,8
176,1403,2259,155
177,1579,1076,65
178,1020,1609,23
179,1246,2575,195
180,1460,1806,20
181,1181,1353,52
182,1324,1783,167
183,1638,1768,49
184,1502,2340,77
185,1057,1113,20
186,1525,2272,29
187,1197,2110,68
188,1492,2471,195
189,1355,2011,73
190,1228,1441,57
191,1217,2945,0
192,1366,2220,141
193,1169,2078,82
194,1358,2585,71
195,1481,1371,41
196,1450,2816,164
197,1092,2050,114
198,1143,1533,136
199,1083,2615,35
200,1102,3000,156
